city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments
32_Phoenix_City,Quantum,15324,40,80,804045,4,6.5343099480001,97.5,497.3481834094848,1794.6780400930777,1.2584563833060027,1.8398599990925928,23447.584407457383,127.61922951199996,127.45856649200005,0.0319523319999461,0.0094918459999462,0.0224604859999999,,127.45856649200005,0.0017058329999599,0.0969371860001047,0.0063545719999638,0.0237063700001272,127.61922951199996,,,,,,,,0.0,,0,77,2854.9625,1232.0,4689.0,1996.75,2795.5,3737.75,4966.0,9852.0,0.0007991502336735,0.0015983004673471,0.0016112789526686,0.0008056394763343,7.935561820378575,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,40,80,804046,5,6.235198986999876,90.0,464.3803749658842,1784.4994593311983,1.0565680897761751,2.3353183682727097,15261.0356797427,6.195795627999814,6.191974720999951,,,,,,,,,,,87549.0,120.0,87549.0,259923.0,,,,,,0,79,2998.975,1215.0,4774.0,2005.0,3078.0,3969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,40,80,804046,5,6.235198986999876,95.0,482.4307271299683,1794.3806097372108,1.370001018441814,2.9322121501950296,20213.0069613779,122.83715391600026,122.71874650099971,0.0326237760000367,0.0099076860001332,0.0227160899999034,,122.71874650099971,0.001651855000091,0.0673800720001054,0.0039774819997546,0.0127690700001039,122.83715391600026,,,,,,,,0.0,,0,79,2998.975,1215.0,4774.0,2005.0,3078.0,3969.0,4927.0,9774.0,0.000805425472557,0.0016108509451141,0.001624035728786,0.000812017864393,7.93505175563223,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,50,505042,1,4.613522329000261,100.0,438.6973602243221,1776.623457602187,1.0067717768767706,1.5938080161573889,12487.96687318038,2.108612426000036,2.105095053999776,,,,,,,,,,,42737.0,100.0,42737.0,126120.0,,,,,,0,49,2928.96,1235.0,4681.0,2104.25,2754.0,3826.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,50,505042,1,4.613522329000261,96.0,447.4010355528256,1793.7137584406362,1.429352238978946,2.9750196212023674,14849.441258113196,70.28266436500007,70.21632283999998,0.0169786229998862,0.0050711389999378,0.0119074839999484,,70.21632283999998,0.0005782040002486,0.0390513659999669,0.0022792259997004,0.0074506450000626,70.28266436500007,,,,,,,,0.0,,0,49,2928.96,1235.0,4681.0,2104.25,2754.0,3826.25,2881.0,5712.0,0.0013768367465,0.0027536734930001,0.0027777777777777,0.0013888888888888,7.930579659840333,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,50,505043,2,4.360477793999962,100.0,395.7842196624517,1651.8489075177167,1.1053037567203636,3.8318004002409727,12715.0185280623,2.27055743200026,2.2675846649999585,,,,,,,,,,,44838.0,100.0,44838.0,132400.0,,,,,,0,49,3070.26,1390.0,4761.0,2284.25,2925.0,3918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,50,505043,2,4.360477793999962,96.0,371.1545703511668,1755.8771008555757,1.5795050884191244,5.801088468489761,15504.102578782058,69.29876544199988,69.23029429600001,0.0170901980000053,0.00541130900001,0.0116788889999952,,69.23029429600001,0.0005640459999085,0.0409097249998922,0.0023681699999542,0.0075351330001467,69.29876544199988,,,,,,,,0.0,,0,49,3070.26,1390.0,4761.0,2284.25,2925.0,3918.0,2833.0,5616.0,0.0013999653000053,0.0027999306000107,0.0028248587570621,0.001412429378531,7.929403459230498,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,50,505044,3,3.808401040999797,100.0,430.82507994273743,1759.6430106041437,1.1970160554101192,2.8615555258735674,12567.093426979136,1.8182702879998944,1.815745233999678,,,,,,,,,,,36729.0,100.0,36729.0,108264.0,,,,,,0,46,2767.38,1257.0,4780.0,2007.5,2688.0,3452.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,50,505044,3,3.808401040999797,96.0,498.3075580682976,1496.8577120436605,1.4591443611649833,2.8615555258735674,15462.614075321251,70.10673538400033,70.04554086899998,0.0168221789999734,0.0047294089999923,0.0120927699999811,,70.04554086899998,0.0005775599997832,0.0342119490001096,0.002023798999744,0.007555327999853,70.10673538400033,,,,,,,,0.0,,0,46,2767.38,1257.0,4780.0,2007.5,2688.0,3452.75,2833.0,5616.0,0.0013999653000053,0.0027999306000107,0.0028248587570621,0.001412429378531,7.929403459230498,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,50,505045,4,4.400724508000167,100.0,397.5413195560761,1795.496874688502,1.042095608470313,1.7325663635511994,11704.775547924546,2.500511712000389,2.4977661949997128,,,,,,,,,,,46753.0,100.0,46753.0,138063.0,,,,,,0,48,3116.14,1304.0,4793.0,2143.25,3244.0,3791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,50,505045,4,4.400724508000167,96.0,367.4389625079002,1786.6777480085634,1.3177525671042611,1.835338013604232,14532.400837926512,69.32979112700014,69.2179872380002,0.0175044610000441,0.0055838309999671,0.0119206300000769,,69.2179872380002,0.0009200869999403,0.0758308449999276,0.0046706070002073,0.0128721920000316,69.32979112700014,,,,,,,,0.0,,0,48,3116.14,1304.0,4793.0,2143.25,3244.0,3791.0,2827.0,5604.0,0.0014029111156673,0.0028058222313346,0.002830856334041,0.0014154281670205,7.92925362575168,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,50,505046,5,3.5792335580003964,100.0,424.95515422501927,1739.3380784573103,1.0716607341046571,1.581217728273677,11618.851972089977,2.003015671999947,2.000090644000011,,,,,,,,,,,38873.0,100.0,38873.0,114647.0,,,,,,0,48,2956.4,1261.0,4800.0,2149.25,3036.0,3693.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,50,505046,5,3.5792335580003964,100.0,374.7805652877823,1699.0137007730186,1.4171900728094675,2.724170334098854,14643.160755160166,72.05853598699969,71.95127710299994,0.0173921499995231,0.0050035249996653,0.0123886249998577,,71.95127710299994,0.0009580779997122,0.0699510970002847,0.003820467999958,0.0151323019999836,72.05853598699969,,,,,,,,0.0,,0,48,2956.4,1261.0,4800.0,2149.25,3036.0,3693.75,2911.0,5772.0,0.0013627654789688,0.0027255309579377,0.0027491408934707,0.0013745704467353,7.931295087598763,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005042,1,12.102701877000072,96.0,389.6863720339407,1798.895545689778,1.0252809861498002,2.2865402283949963,20209.78334129323,12.993938952999995,12.98870314299984,,,,,,,,,,,179471.0,150.0,179471.0,534071.0,,,,,,0,97,2931.45,1234.0,4695.0,2231.25,2926.0,3744.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005042,1,12.102701877000072,94.0,393.16512648252615,1721.1915861718626,1.3362770209822332,3.090341475591006,24368.2829580574,172.0485031410003,171.88764184699994,0.0506399490000148,0.0173262580001392,0.0333136909998756,,171.88764184699994,0.0014500870001938,0.0835538530000121,0.0045667139997931,0.0206453149999106,172.0485031410003,,,,,,,,0.0,,0,97,2931.45,1234.0,4695.0,2231.25,2926.0,3744.5,6578.0,13056.0,0.0006035571874364,0.0012071143748729,0.0012163600425726,0.0006081800212863,7.93919124353907,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005043,2,11.10361343800014,95.0,508.81305100054834,1796.014618625502,1.1640241447775694,5.672203921698027,20741.443952381425,11.72466009999971,11.71941292700012,,,,,,,,,,,155901.0,150.0,155901.0,463758.0,,,,,,0,96,3100.22,1249.0,4749.0,2072.5,3350.5,3959.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005043,2,11.10361343800014,92.0,559.1316001937877,1753.4141658500876,1.4879156030559837,3.4769279378302214,27339.580731655296,167.3154679180002,167.175080986,0.0470799879999503,0.0153592289998414,0.0317207590001089,,167.175080986,0.0014438600001085,0.0699393439999767,0.0043238150001343,0.0175956439998117,167.3154679180002,,,,,,,,0.0,,0,96,3100.22,1249.0,4749.0,2072.5,3350.5,3959.5,6503.0,12906.0,0.0006104652359063,0.0012209304718126,0.001230390649031,0.0006151953245155,7.938489927725665,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005044,3,12.0123209530002,97.0,436.2864528249247,1700.7463871441018,1.006648903215609,1.5145673195956866,19652.83271789412,12.787621227000272,12.782092822999855,,,,,,,,,,,174932.0,150.0,174932.0,520579.0,,,,,,0,98,2934.91,1224.0,4790.0,2067.0,2887.5,3761.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005044,3,12.0123209530002,96.0,440.39402945567537,1655.365606183403,1.2615060042919757,2.404932571481823,25754.306584123497,168.98915985400026,168.83955190300003,0.0506423839997296,0.0175409869998475,0.0331013969998821,,168.83955190300003,0.0014828359999228,0.0759322760000031,0.0044130429996585,0.0171323190002112,168.98915985400026,,,,,,,,0.0,,0,98,2934.91,1224.0,4790.0,2067.0,2887.5,3761.25,6563.0,13026.0,0.0006049262620149,0.0012098525240299,0.0012191405059433,0.0006095702529716,7.939052262684748,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005045,4,11.803349809999872,95.0,502.6990810902882,1794.006124816813,1.0403975853714875,3.937737165293287,19572.26343903245,11.57426994000025,11.569113254000058,,,,,,,,,,,168171.0,150.0,168171.0,500387.0,,,,,,0,96,3042.35,1245.0,4794.0,2102.5,3041.5,4045.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005045,4,11.803349809999872,94.0,493.5023341316739,1787.0031094239512,1.3431681328680265,2.184649988540873,24850.50343981953,169.39338624300035,169.24166096900035,0.0507833539995772,0.0173636089998581,0.0334197449997191,,169.24166096900035,0.0016144179999173,0.0764713800003846,0.0045019269996373,0.0182868199999575,169.39338624300035,,,,,,,,0.0,,0,96,3042.35,1245.0,4794.0,2102.5,3041.5,4045.75,6605.0,13110.0,0.0006011084053845,0.0012022168107691,0.0012113870381586,0.0006056935190793,7.939439818319455,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005046,5,11.80236478400002,96.0,438.65559003134575,1749.4945097317077,1.0390368774928067,1.8065628888161824,18991.88781230272,12.007151961999623,12.002009153000015,,,,,,,,,,,167805.0,150.0,167805.0,499272.0,,,,,,0,98,3051.38,1204.0,4796.0,2374.5,2953.0,3893.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005046,5,11.80236478400002,94.0,395.4949174114605,1754.557855942423,1.4407867037785649,2.855531666783958,24261.43333936955,169.66216460299984,169.51204336599994,0.0502720509998653,0.0176414419997854,0.0326306090000798,,169.51204336599994,0.001481922000039,0.0766971650000414,0.0046094000003904,0.0170565970001916,169.66216460299984,,,,,,,,0.0,,0,98,3051.38,1204.0,4796.0,2374.5,2953.0,3893.25,6572.0,13044.0,0.0006041040729971,0.0012082081459942,0.0012174707046111,0.0006087353523055,7.939135727328058,8.0,4.0,40000.0,20000.0,2.0,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,80,80,808042,1,13.160792399000002,100.0,518.3114661356473,1781.5308521471834,0.9876345992779068,1.6058133384491575,15863.44225098742,12.585399336000023,12.581026344000009,,,,,,,,,,,162830.0,160.0,162830.0,483466.0,,,,,,0,75,2932.0,1241.0,4778.0,2123.25,2778.5,3690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
